is_canceled,lead_time_std,adr_std,no_deposit,prev_cancellations,repeat_guest,market_corporate,market_onlineTA,market_offlineTA/TO,market_groups,market_comp,booking_changes_flag,booking_changes_std,special_requests,national
0,-0.882085007,-0.339170398,1,0,0,0,0,0,0,0,0,-0.398176361,0,0
0,-0.819588284,-0.339170398,1,0,0,1,0,0,0,0,0,-0.398176361,0,0
0,-0.809172163,0.079985662,1,0,0,0,1,0,0,0,0,-0.398176361,1,0
0,-0.809172163,0.079985662,1,0,0,0,1,0,0,0,0,-0.398176361,1,0
0,-0.954997852,0.244003251,1,0,0,0,0,0,0,0,0,-0.398176361,0,1
0,-0.861252766,0.171106545,1,0,0,0,0,0,0,0,0,-0.398176361,1,1
1,-0.069627602,-0.211601162,1,0,0,0,1,0,0,0,0,-0.398176361,1,1
1,-0.173788808,0.216666986,1,0,0,0,0,1,0,0,0,-0.398176361,0,1
1,-0.715427078,0.535590075,1,0,0,0,1,0,0,0,0,-0.398176361,0,1
0,-0.590433631,0.936521958,1,0,0,0,1,0,0,0,0,-0.398176361,0,1
0,-0.246701652,0.061761486,1,0,0,0,1,0,0,0,0,-0.398176361,1,0
0,-0.767507681,1.114572162,1,0,0,0,1,0,0,0,1,1.040480334,1,0
0,-0.56960139,0.020028121,1,0,0,0,1,0,0,0,0,-0.398176361,0,1
0,-0.246701652,0.061761486,1,0,0,0,1,0,0,0,0,-0.398176361,1,0
0,-0.56960139,0.070873574,1,0,0,0,0,1,0,0,0,-0.398176361,0,1
0,-0.830004405,-0.098611268,1,0,0,0,1,0,0,0,0,-0.398176361,0,0
0,-0.954997852,0.251657405,1,0,0,1,0,0,0,0,0,-0.398176361,0,0
0,-0.882085007,1.08231537,1,0,0,0,0,0,0,0,0,-0.398176361,1,0
0,-0.56960139,0.067046497,1,0,0,0,1,0,0,0,0,-0.398176361,1,0
0,-0.20503717,-0.162942611,1,0,0,0,0,0,0,0,1,1.040480334,1,1
0,-0.20503717,-0.162942611,1,0,0,0,0,0,0,0,1,1.040480334,1,1
0,-0.20503717,0.110420037,1,0,0,0,0,0,0,0,1,1.040480334,1,1
0,0.367849463,0.024401924,1,0,0,0,0,1,0,0,0,-0.398176361,1,0
0,-0.142540446,-0.54692601,1,0,0,0,0,1,0,0,0,-0.398176361,0,1
0,-0.455024064,-0.257161603,1,0,0,0,0,1,0,0,0,-0.398176361,0,0
1,-0.330030617,0.244003251,1,0,0,0,1,0,0,0,0,-0.398176361,1,1
0,-0.152956567,0.007088956,1,0,0,0,1,0,0,0,0,-0.398176361,0,1
0,0.076198086,-0.115013027,1,0,0,0,1,0,0,0,0,-0.398176361,1,1
0,0.274104377,-0.576084692,1,0,0,0,0,0,0,0,1,2.47913703,1,0
0,0.034533604,-0.542187724,1,0,0,0,0,1,0,0,0,-0.398176361,0,0
1,0.044949725,0.26769468,1,0,0,0,0,0,0,0,0,-0.398176361,1,1
0,-0.236285531,-0.512300074,1,0,0,0,0,1,0,0,0,-0.398176361,0,0
1,-0.486272425,0.276806768,1,0,0,0,1,0,0,0,0,-0.398176361,1,1
1,-0.538353028,0.276806768,1,0,0,0,1,0,0,0,0,-0.398176361,1,1
0,-0.798756043,0.079985662,1,0,0,0,1,0,0,0,0,-0.398176361,0,0
0,-0.580017511,0.276806768,1,0,0,0,1,0,0,0,0,-0.398176361,1,1
1,-0.507104666,0.276806768,1,0,0,0,1,0,0,0,0,-0.398176361,0,1
0,-0.225869411,0.790728546,1,0,0,0,0,0,0,0,0,-0.398176361,1,0
1,-0.486272425,0.441006599,1,0,0,0,1,0,0,0,0,-0.398176361,0,1
0,-0.486272425,-0.257161603,1,0,0,0,0,1,0,0,0,-0.398176361,0,0
0,-0.788339922,0.535590075,1,0,0,0,0,0,0,0,0,-0.398176361,0,0
0,-0.225869411,0.790728546,1,0,0,0,0,0,0,0,0,-0.398176361,1,0
0,0.159527051,0.311432704,1,0,0,0,1,0,0,0,0,-0.398176361,1,1
1,-0.465440184,1.08231537,1,0,0,0,1,0,0,0,0,-0.398176361,0,1
0,0.044949725,-0.631668431,1,0,0,0,0,1,0,0,0,-0.398176361,1,0
0,0.222023774,-0.195563887,1,0,0,0,0,1,0,0,0,-0.398176361,1,0
0,-0.017546999,-0.2052227,1,0,0,0,0,1,0,0,1,1.040480334,0,0
0,-0.434191822,0.469071831,1,0,0,0,1,0,0,0,1,1.040480334,1,0
0,0.222023774,-0.474393787,1,0,0,0,0,1,0,0,0,-0.398176361,1,0
0,0.013701363,-0.685247509,1,0,0,0,0,1,0,0,0,-0.398176361,0,0
0,-0.163372687,0.311432704,1,0,0,0,0,1,0,0,0,-0.398176361,0,0
0,-0.92374949,-0.098611268,1,0,0,0,1,0,0,0,0,-0.398176361,0,0
0,-0.944581731,0.972970311,1,0,0,0,1,0,0,0,0,-0.398176361,0,0
0,-0.944581731,0.244003251,1,0,0,0,0,0,0,0,0,-0.398176361,1,0
0,-0.954997852,0.972970311,1,0,0,0,0,0,0,0,0,-0.398176361,0,1
0,-0.954997852,0.442646775,1,0,0,0,1,0,0,0,0,-0.398176361,1,1
0,-0.954997852,0.535590075,1,0,0,0,0,0,0,0,0,-0.398176361,0,1
0,-0.809172163,0.079985662,1,0,0,0,1,0,0,0,0,-0.398176361,1,0
0,-0.850836646,0.441006599,1,0,0,0,1,0,0,0,0,-0.398176361,0,1
0,-0.902917249,0.754280193,1,0,0,0,1,0,0,0,0,-0.398176361,1,0
0,-0.777923802,0.71783184,1,0,0,0,0,0,0,0,0,-0.398176361,1,0
0,0.013701363,-0.631668431,1,0,0,0,0,1,0,0,0,-0.398176361,0,0
1,-0.92374949,0.778518348,1,0,0,0,1,0,0,0,0,-0.398176361,1,1
0,-0.850836646,1.08231537,1,0,0,0,1,0,0,0,0,-0.398176361,0,0
0,-0.92374949,0.307787868,1,0,0,0,1,0,0,0,0,-0.398176361,0,0
0,-0.423775702,0.061761486,1,0,0,0,1,0,0,0,0,-0.398176361,0,0
1,-0.21545329,0.304143033,1,0,0,0,0,1,0,0,0,-0.398176361,1,1
1,-0.298782255,-0.211601162,1,0,0,0,1,0,0,0,0,-0.398176361,1,1
1,-0.309198375,0.061761486,1,0,0,0,1,0,0,0,0,-0.398176361,1,1
1,0.097030327,-0.361039409,1,0,0,0,1,0,0,0,0,-0.398176361,1,1
0,-0.93416561,-0.038471485,1,0,0,0,0,1,0,0,0,-0.398176361,0,1
0,-0.798756043,0.380684574,1,0,0,0,1,0,0,0,0,-0.398176361,0,0
1,-0.423775702,0.304143033,1,0,0,0,1,0,0,0,0,-0.398176361,0,1
0,-0.92374949,-0.049405991,1,0,0,0,1,0,0,0,0,-0.398176361,0,0
1,-0.455024064,0.535590075,1,0,0,0,1,0,0,0,0,-0.398176361,0,1
